label,score,housenumber,id,name,postcode,citycode,x,y,city,context,type,importance,street,lon,lat,full_adress,banId,oldcitycode,oldcity,_type
10 Place Henri Farman 16000 Angoulême,0.7444476923076923,10,16015_1995_00010,10 Place Henri Farman,16000,16015,476170.96,6509602.91,Angoulême,"16, Charente, Nouvelle-Aquitaine",housenumber,0.57354,Place Henri Farman,0.125568,45.649301,10 PLACE HENRI FARMAN 16015 ANGOULEME,,,,
3 Impasse Jacky Humblot 16000 Angoulême,0.7467360753880266,3,16015_2065_00003,3 Impasse Jacky Humblot,16000,16015,480059.96,6509681.09,Angoulême,"16, Charente, Nouvelle-Aquitaine",housenumber,0.53117,Impasse Jacky Humblot,0.175432,45.651268,3 IMPASSE JACKY HUMBLOT 16015 ANGOULEME,,,,
7 Avenue Bouvard 74000 Annecy,0.771730909090909,7,74010_0360_00007,7 Avenue Bouvard,74000,74010,941958.02,6538464.88,Annecy,"74, Haute-Savoie, Auvergne-Rhône-Alpes",housenumber,0.68904,Avenue Bouvard,6.121659,45.902816,7 AVENUE BOUVARD 74010 ANNECY,3618eb48-75d7-455b-b0c3-bb4c38f870f3,74010,Annecy,
60 Rue Centrale 74940 Annecy,0.7711200626959247,60,74010_2608_00060,60 Rue Centrale,74940,74010,944414.14,6538988.19,Annecy,"74, Haute-Savoie, Auvergne-Rhône-Alpes",housenumber,0.7237,Rue Centrale,6.153583,45.906646,60 RUE CENTRALE 74010 ANNECY,17991ab6-6f28-4cc1-90e0-8c31e575d90b,74011,Annecy-le-Vieux,
11 Rue Claudius Chappaz 74960 Annecy,0.7488806698564593,11,74010_2862_00011,11 Rue Claudius Chappaz,74960,74010,940961.92,6539077.27,Annecy,"74, Haute-Savoie, Auvergne-Rhône-Alpes",housenumber,0.65874,Rue Claudius Chappaz,6.109132,45.90868,11 RUE CLAUDIUS CHAPPAZ 74010 ANNECY,3519639b-d019-4ccb-bf64-53d63f6c9ecb,74093,Cran-Gevrier,
250 Avenue d'Aix-les-Bains 74600 Annecy,0.7675415299334811,250,74010_3204_00250,250 Avenue d'Aix-les-Bains,74600,74010,939550.3,6535691.09,Annecy,"74, Haute-Savoie, Auvergne-Rhône-Alpes",housenumber,0.76003,Avenue d'Aix-les-Bains,6.089228,45.87871,250 AVENUE D AIX LES BAINS 74010 ANNECY,81d9289f-a2cb-4331-a4c8-7402476f6b3d,74268,Seynod,
9 Avenue d'Albigny 74000 Annecy,0.7785490909090907,9,74010_0075_00009,9 Avenue d'Albigny,74000,74010,943074.34,6538610.61,Annecy,"74, Haute-Savoie, Auvergne-Rhône-Alpes",housenumber,0.68904,Avenue d'Albigny,6.136121,45.903729,9 AVENUE D ALBIGNY 74010 ANNECY,012f4e56-3f9e-48bf-8d7e-b401a11ffb63,74010,Annecy,
6 Avenue d'Aléry 74000 Annecy,0.7728272727272727,6,74010_0080_00006,6 Avenue d'Aléry,74000,74010,941824.15,6538167.19,Annecy,"74, Haute-Savoie, Auvergne-Rhône-Alpes",housenumber,0.7011,Avenue d'Aléry,6.119782,45.900185,6 AVENUE D ALERY 74010 ANNECY,44a420b2-3412-4f72-8898-1442feadef72,74010,Annecy,
36 Avenue de Chambéry 74000 Annecy,0.7903616883116882,36,74010_0470_00036,36 Avenue de Chambéry,74000,74010,941536.37,6537936.88,Annecy,"74, Haute-Savoie, Auvergne-Rhône-Alpes",housenumber,0.72255,Avenue de Chambéry,6.115956,45.898215,36 AVENUE DE CHAMBERY 74010 ANNECY,b02c7aeb-507e-4fd8-8e92-7d9fec3de2c3,74010,Annecy,
1 Avenue de Chambéry 74000 Annecy,0.7876114973262031,1,74010_0470_00001,1 Avenue de Chambéry,74000,74010,941959.59,6538091.63,Annecy,"74, Haute-Savoie, Auvergne-Rhône-Alpes",housenumber,0.72255,Avenue de Chambéry,6.121489,45.899457,1 AVENUE DE CHAMBERY 74010 ANNECY,ce37d72b-ae94-4b9a-b4c5-ea63e4b2fc4f,74010,Annecy,
